elo_bin_10,draw,strong_loss,strong_win
0.0,0.29411764705882354,0.38461538461538464,0.3212669683257919
10.0,0.2905027932960894,0.33743016759776534,0.37206703910614525
20.0,0.3042505592841163,0.3143176733780761,0.3814317673378076
30.0,0.3268053855569155,0.27539779681762544,0.397796817625459
40.0,0.29484029484029484,0.28992628992628994,0.4152334152334152
50.0,0.28,0.29454545454545455,0.4254545454545455
60.0,0.2855491329479769,0.25780346820809247,0.45664739884393063
70.0,0.28236744759556104,0.2466091245376079,0.47102342786683105
80.0,0.2876376988984088,0.24112607099143207,0.47123623011015914
90.0,0.2704485488126649,0.2612137203166227,0.4683377308707124
100.0,0.24302788844621515,0.23638778220451528,0.5205843293492696
110.0,0.29829545454545453,0.2059659090909091,0.49573863636363635
120.0,0.2710926694329184,0.1950207468879668,0.5338865836791148
130.0,0.25766871165644173,0.21779141104294478,0.5245398773006135
140.0,0.28135593220338984,0.15593220338983052,0.5627118644067797
150.0,0.22897196261682243,0.17445482866043613,0.5965732087227414
160.0,0.24476650563607086,0.1932367149758454,0.5619967793880838
170.0,0.24607329842931938,0.15881326352530542,0.5951134380453752
180.0,0.2209737827715356,0.1254681647940075,0.653558052434457
190.0,0.2545824847250509,0.13441955193482688,0.6109979633401222
200.0,0.1888412017167382,0.13090128755364808,0.6802575107296137
210.0,0.2323008849557522,0.13053097345132744,0.6371681415929203
220.0,0.21026894865525672,0.09535452322738386,0.6943765281173594
230.0,0.21643835616438356,0.13150684931506848,0.6520547945205479
240.0,0.24863387978142076,0.11202185792349727,0.639344262295082
250.0,0.2246153846153846,0.11076923076923077,0.6646153846153846
260.0,0.17592592592592593,0.11728395061728394,0.7067901234567902
270.0,0.17343173431734318,0.07749077490774908,0.7490774907749077
280.0,0.22743682310469315,0.09386281588447654,0.6787003610108303
290.0,0.16342412451361868,0.08949416342412451,0.7470817120622568
300.0,0.17391304347826086,0.0821256038647343,0.7439613526570048
310.0,0.20812182741116753,0.050761421319796954,0.7411167512690355
320.0,0.17616580310880828,0.07253886010362694,0.7512953367875648
330.0,0.12087912087912088,0.054945054945054944,0.8241758241758241
340.0,0.16560509554140126,0.07643312101910828,0.7579617834394905
350.0,0.1557377049180328,0.040983606557377046,0.8032786885245902
360.0,0.1111111111111111,0.044444444444444446,0.8444444444444444
370.0,0.11594202898550725,0.021739130434782608,0.8623188405797102
380.0,0.17142857142857143,0.047619047619047616,0.780952380952381
390.0,0.057692307692307696,0.028846153846153848,0.9134615384615384
400.0,0.09574468085106383,0.0425531914893617,0.8617021276595744
410.0,0.11818181818181818,0.03636363636363636,0.8454545454545455
420.0,0.11578947368421053,0.031578947368421054,0.8526315789473684
430.0,0.014705882352941176,0.014705882352941176,0.9705882352941176
440.0,0.027777777777777776,0.013888888888888888,0.9583333333333334
450.0,0.14285714285714285,0.03571428571428571,0.8214285714285714
460.0,0.07246376811594203,0.043478260869565216,0.8840579710144928
470.0,0.0392156862745098,0.0196078431372549,0.9411764705882353
480.0,0.046511627906976744,0.023255813953488372,0.9302325581395349
490.0,0.0,0.058823529411764705,0.9411764705882353
500.0,0.09090909090909091,0.0,0.9090909090909091
510.0,0.0,0.0,1.0
520.0,0.0,0.0,1.0
530.0,0.038461538461538464,0.038461538461538464,0.9230769230769231
540.0,0.0,0.0,1.0
550.0,0.06666666666666667,0.0,0.9333333333333333
560.0,0.0,0.03571428571428571,0.9642857142857143
570.0,0.0,0.0,1.0
580.0,0.0,0.0,1.0
590.0,0.0,0.0,1.0
600.0,0.0,0.0,1.0
610.0,0.0,0.0,1.0
620.0,0.0,0.0,1.0
630.0,0.07142857142857142,0.0,0.9285714285714286
640.0,0.0,0.0,1.0
650.0,0.0,0.0,1.0
660.0,0.0,0.0,1.0
670.0,0.0,0.0,1.0
680.0,0.0,0.0,1.0
690.0,0.0,0.0,1.0
700.0,0.0,0.0,1.0
710.0,0.0,0.0,1.0
720.0,0.0,0.0,1.0
730.0,0.0,0.0,1.0
740.0,0.0,0.0,1.0
750.0,0.0,0.0,1.0
760.0,0.0,0.0,1.0
770.0,0.0,0.0,1.0
780.0,0.0,0.0,1.0
790.0,0.0,0.0,1.0
800.0,0.0,0.0,1.0
810.0,0.0,0.0,1.0
820.0,0.0,0.0,1.0
830.0,0.0,0.0,1.0
840.0,0.0,0.0,1.0
850.0,0.0,0.0,1.0
860.0,0.0,0.0,1.0
870.0,0.0,0.0,1.0
880.0,0.0,0.0,1.0
910.0,0.0,0.0,1.0
920.0,0.0,0.0,1.0
960.0,0.0,0.0,1.0
970.0,0.0,0.0,1.0
990.0,0.0,0.0,1.0
